省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),抓取时间
新疆维吾尔自治区,西北诸河,布尔津水文站,2026-07-09 20:00,II类,28.65,8.45,7.88,174.1169,18.99816,1.75,0.022,0.026,0.85766,--,--,2026-07-09 21:21:42
宁夏回族自治区,黄河流域,泉眼山,2026-07-09 21:00,II类,22.65,8.17,8.68,6202.479,244.9286,3.09,0.142,0.054,30.5601,--,--,2026-07-09 21:21:42
新疆维吾尔自治区,西北诸河,额河南湾,2026-07-09 19:00,I类,25.254,7.43,9.24,214.1001,0.1066,1.67,--,0.005,1.20581,--,--,2026-07-09 21:21:42
吉林省,松花江流域,新立城大坝,2026-07-09 15:00,II类,21.2188,8.27,8.67,300.4625,146.8,3.4,0.029,0.041,1.054,--,--,2026-07-09 21:21:42
广东省,珠江流域,赤凤,2026-07-09 08:00,II类,28.16,7.11,6.48,109.92,22.95,1.68,--,0.07,1.838,--,--,2026-07-09 21:21:42
浙江省,浙闽片河流,费垅,2026-07-09 11:00,III类,30.55,7.16,6.29,281.714,8.297,4.52,0.346,0.154,3.1835,--,--,2026-07-09 21:21:42
安徽省,淮河流域,奎河苏皖省界,2026-07-09 16:00,IV类,30.09,8.22,12.09,633.6,25.4,7.67,0.728,0.258,3.635,--,--,2026-07-09 21:21:42
江西省,长江流域,桃江江口,2026-07-09 12:00,III类,31.57,7.58,5.14,178.511,5.426,1.73,0.087,0.067,2.0141,--,--,2026-07-09 21:21:42
甘肃省,黄河流域,折桥,2026-07-09 18:00,II类,24.16,8.46,6.68,595.8932,464.0972,2.22,0.083,0.025,3.99916,--,--,2026-07-09 21:21:42
湖北省,长江流域,淤泥湖,2026-07-09 09:00,II类,25.9,7.72,7.94,354.8,29.7,1.85,0.008,0.083,1.887,--,--,2026-07-09 21:21:42
广东省,珠江流域,江城,2026-07-09 17:00,IV类,27.59,6.84,6.33,91.842,132.576,4.28,0.152,0.233,1.501,--,--,2026-07-09 21:21:42
云南省,珠江流域,抚仙湖心,2026-07-09 10:00,II类,23.22,8.84,9.33,290.66,2.269,2.11,--,0.011,0.093,0.06011,1.281774,2026-07-09 21:21:42
